player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp,nflid
AA-1300,Andre',Anderson,A.Anderson,RB,,71,205,5/1/1988,4.58,17,39,123,4.12,6.92,0.000,0.000,0,Tulane,Conference USA (C-USA),2010,INA,INA,0,0,2508094
AA-1350,Antonio,Andrews,A.Andrews,RB,,70,225,10/15/1992,4.72,20,30,108,4.35,7.17,31.250,9.500,0,Western Kentucky,Sun Belt,2014,INA,INA,0,0,2550474
AA-1400,Antwan,Applewhite,A.Applewhite,DL,LB,75,246,12/31/1985,4.73,25,35,115,4.36,7.5,0.000,0.000,0,San Diego State,Mountain West (MWC),2008,INA,INA,0,0,2495535
AA-1500,Adam,Archuleta,A.Archuleta,DB,LB,72,223,11/27/1977,4.46,31,0,0,0,0,0.000,0.000,20,Arizona State,Pacific 10,2001,INA,INA,0,0,2504769
AA-1550,Armond,Armstead,A.Armstead,DL,,76,290,8/3/1990,5.08,0,0,0,0,0,0.000,0.000,0,USC,Pacific 12,2012,INA,INA,0,0,2540324
AA-1600,Anthony,Armstrong,A.Armstrong,WR,,71,183,3/29/1983,4.38,0,0,0,0,0,0.000,0.000,0,West Texas A&M,,2010,INA,INA,0,0,2507539
AA-1700,Adrian,Arrington,A.Arrington,WR,,75,192,11/7/1985,4.55,36,0,0,0,0,0.000,0.000,0,Michigan,Big Ten,2010,INA,INA,0,0,1058
AA-1800,Adrian,Awasom,A.Awasom,DL,,77,275,10/25/1983,4.93,23,33,107,4.4,7.57,0.000,0.000,0,North Texas,Sun Belt,2005,INA,INA,0,0,2506152
AA-1900,Akeem,Ayers,A.Ayers,LB,,74,254,7/10/1989,4.81,22,34.5,116,4.28,7.19,0.000,0.000,39,UCLA,Pacific 10,2011,INA,INA,0,0,2495491
AA-2000,Akin,Ayodele,A.Ayodele,LB,,74,251,9/17/1979,4.81,26,35,121,4.12,7,0.000,0.000,89,Purdue,Big Ten,2002,INA,INA,0,0,2505084
AB-0050,Aaron,Bailey,A.Bailey,QB,,73,230,,4.5,0,34,119,4.35,6.85,0.000,0.000,0,Northern Iowa,Missouri Valley,2017,INA,INA,0,0,2559316
AB-0100,Allen,Bailey,A.Bailey,DL,,75,288,3/25/1989,4.71,27,36.5,117,4.56,7.43,34.000,10.250,86,Miami (FL),Atlantic Coast (ACC),2011,KC,RDE,97,1,2495116
AB-0120,Alvin,Bailey,A.Bailey,OL,,75,320,8/26/1991,4.9,27,0,0,4.69,7.5,0.000,0.000,0,Arkansas,Southeastern (SEC),2013,INA,INA,0,0,2540182
AB-0160,Alex,Balducci,A.Balducci,OL,DL,76,301,3/1/1994,5.01,25,33,113,4.63,7.55,0.000,0.000,0,Oregon,Pacific 12,2016,INA,INA,0,0,2556465
AB-0200,Alan,Ball,A.Ball,DB,,74,195,3/29/1985,4.52,11,36,124,4.18,6.75,0.000,0.000,237,Illinois,Big Ten,2007,INA,INA,0,0,2507253
AB-0300,Antonio,Banks,A.Banks,DB,,70,203,3/12/1973,0,0,0,0,0,0,0.000,0.000,113,Virginia Tech,Big East,1998,INA,INA,0,0,2499516
AB-0400,Alex,Bannister,A.Bannister,WR,,77,207,4/23/1979,4.47,0,30.5,110,0,0,0.000,0.000,140,Eastern Kentucky,Ohio Valley,2001,INA,INA,0,0,2504617
AB-0500,Allen,Barbre,A.Barbre,OL,,76,305,6/22/1984,4.84,28,32,105,4.63,7.4,0.000,0.000,119,Missouri Southern,,2007,INA,INA,0,0,2495542
AB-0525,Austin,Barnard,A.Barnard,K,,75,195,6/22/1995,5.1,0,0,0,0,0,0.000,0.000,0,Samford,Southern,2018,TEN,RES,3,2,2561297
AB-0550,Adairius,Barnes,A.Barnes,DB,,71,187,4/30/1994,4.55,14,41.5,126,4.08,6.82,0.000,0.000,0,Louisiana Tech,Conference USA (C-USA),2016,INA,INA,0,0,2556467
AB-0600,Antwan,Barnes,A.Barnes,LB,,73,251,10/19/1984,4.43,31,35,122,4.32,7.29,0.000,0.000,134,Florida International,Sun Belt,2007,INA,INA,0,0,2495543
AB-0650,Anthony,Barr,A.Barr,LB,,77,255,3/18/1992,4.56,19,34.5,125,4.19,6.82,33.500,9.375,9,UCLA,Pacific 12,2014,MIN,SLB,55,1,2543459
AB-0675,Alex,Barrett,A.Barrett,DL,,75,260,3/6/1994,4.97,21,30,109,4.42,7.41,0.000,0.000,0,San Diego State,Mountain West (MWC),2017,INA,INA,0,0,2559140
AB-0700,Alex,Barron,A.Barron,OL,,79,320,9/28/1982,5.27,21,38,112,4.57,7.83,0.000,0.000,19,Florida State,Atlantic Coast (ACC),2005,INA,INA,0,0,2506358
AB-0800,Arnaz,Battle,A.Battle,WR,,73,217,2/22/1980,4.58,0,35,117,4.06,6.74,0.000,0.000,197,Notre Dame,FBS Independents,2003,INA,INA,0,0,2505571
AB-0900,Ainsley,Battles,A.Battles,DB,,71,204,11/6/1978,0,0,0,0,0,0,0.000,0.000,0,Vanderbilt,Southeastern (SEC),2000,INA,INA,0,0,2503981
AB-0950,Alan,Baxter,A.Baxter,LB,,72,238,3/28/1991,4.77,22,30,111,4.84,7.23,0.000,0.000,0,Northern Illinois,Mid-American (MAC),2013,INA,INA,0,0,2541683
AB-0975,Alex,Bayer,A.Bayer,TE,,76,258,11/8/1990,4.78,20,31.5,111,4.42,7.26,32.625,9.750,0,Bowling Green,Mid-American (MAC),2014,INA,INA,0,0,2550424
AB-0987,Alex,Bazzie,A.Bazzie,LB,,73,227,8/5/1990,4.87,19,35,118,4.48,7.29,0.000,0.000,0,Marshall,Conference USA (C-USA),2017,INA,INA,0,0,2558294
AB-1000,Aaron,Beasley,A.Beasley,DB,,72,205,7/7/1973,0,0,0,0,0,0,0.000,0.000,63,West Virginia,Big East,1996,INA,INA,0,0,2499587
AB-1100,Anthony,Becht,A.Becht,TE,,77,272,8/8/1977,4.78,0,33.5,123,4.08,6.94,0.000,0.000,27,West Virginia,Big East,2000,INA,INA,0,0,2504099
AB-1150,Adrian,Bellard,A.Bellard,OL,,77,307,8/7/1994,5.49,15,26,93,5.03,8.08,0.000,0.000,0,Texas State,Sun Belt,2016,INA,INA,0,0,2556838
AB-1200,Arrelious,Benn,A.Benn,WR,,73,220,9/8/1988,4.57,20,27.5,121,4.32,6.78,32.250,9.375,39,Illinois,Big Ten,2010,INA,INA,0,0,497270
AB-1250,Al-Rasheed,Benton,A.Benton,LB,,73,237,,5.01,0,28.5,108,4.56,7.45,0.000,0.000,0,West Virginia,Big 12,2018,INA,INA,0,0,2561182
AB-1300,Adam,Bergen,A.Bergen,TE,,76,263,9/3/1983,4.78,25,38,121,4.11,7.12,0.000,0.000,0,Lehigh,,2005,INA,INA,0,0,2506243
AB-1400,Aaron,Berry,A.Berry,DB,,71,180,6/25/1988,4.48,11,36,123,3.99,6.61,0.000,0.000,0,Pittsburgh,Big East,2010,INA,INA,0,0,2507891
AB-1500,Antoine,Bethea,A.Bethea,DB,,71,203,7/27/1984,4.39,19,36.5,127,4.13,6.99,0.000,0.000,207,Howard,Mid-Eastern Athletic (MEAC),2006,ARI,FS,41,1,2495807
AB-1600,Atari,Bigby,A.Bigby,DB,,71,211,9/19/1981,4.65,19,35,112,4.11,7,0.000,0.000,0,Central Florida,Mid-American (MAC),2005,INA,INA,0,0,2506329
AB-1625,Adam,Bighill,A.Bighill,LB,,69,225,10/16/1988,4.59,24,33,110,4.3,6.99,0.000,0.000,0,Central Washington,,2017,INA,INA,0,0,2558295
AB-1650,Andrew,Billings,A.Billings,DL,,73,311,3/6/1995,5,31,27.5,113,4.78,7.74,33.000,10.000,122,Baylor,Big 12,2016,CIN,NT,99,1,2555267
AB-1700,Armon,Binns,A.Binns,WR,,75,209,9/8/1989,4.5,13,33.5,121,4.31,6.86,32.500,9.500,0,Cincinnati,Big East,2011,INA,INA,0,0,2495446
AB-1750,Adam,Bisnowaty,A.Bisnowaty,OL,,78,304,12/14/1993,5.23,23,29.5,96,4.88,8.02,33.875,11.375,200,Pittsburgh,Atlantic Coast (ACC),2017,MIN,FUT,78,2,2557834
AB-1800,Ahmad,Black,A.Black,DB,,69,190,12/12/1989,4.7,18,36.5,119,4.12,6.77,31.000,9.875,151,Florida,Southeastern (SEC),2011,INA,INA,0,0,2495122
AB-1900,Avion,Black,A.Black,WR,,71,185,4/24/1977,4.42,0,0,0,0,0,0.000,0.000,121,Tennessee State,Ohio Valley,2000,INA,INA,0,0,2504172
AB-1925,Angelo,Blackson,A.Blackson,DL,,76,318,11/14/1992,4.97,21,31,101,4.57,7.5,33.750,9.750,100,Auburn,Southeastern (SEC),2015,HOU,DE,97,2,2552670
AB-1950,Antwon,Blake,A.Blake,DB,,69,198,8/8/1990,4.32,21,39,121,4.09,7.04,0.000,0.000,0,Texas-El Paso,Conference USA (C-USA),2012,INA,INA,0,0,2534566
AB-1956,Alec,Bloom,A.Bloom,TE,,78,261,4/3/1996,4.93,13,29.5,114,4.6,7.27,0.000,0.000,0,Connecticut,American Athletic,2018,INA,INA,0,0,2561183
AB-1962,Akil,Blount,A.Blount,LB,,74,239,7/12/1994,4.61,30,40,113,4.24,7.15,0.000,0.000,0,Florida A&M,Mid-Eastern Athletic (MEAC),2016,INA,INA,0,0,2556474
AB-1975,Alfred,Blue,A.Blue,RB,,74,223,4/27/1991,4.58,13,32,121,4.5,7.15,32.375,9.875,181,LSU,Southeastern (SEC),2014,HOU,RB,28,2,2543600
AB-1987,Austin,Blythe,A.Blythe,OL,,74,298,6/16/1992,5.34,29,31.5,99,4.46,7.52,30.250,9.375,248,Iowa,Big Ten,2016,LA,RG,66,1,2555180
AB-2000,Anquan,Boldin,A.Boldin,WR,,73,220,10/3/1980,4.72,0,33.5,114,4.33,7.35,30.000,9.875,54,Florida State,Atlantic Coast (ACC),2003,INA,INA,0,0,2505587
AB-2025,Al,Bond,A.Bond,OL,,76,303,3/5/1992,5.45,22,24,91,4.65,7.9,0.000,0.000,0,Memphis,American Athletic,2015,INA,INA,0,0,2553495
AB-2050,Alan,Bonner,A.Bonner,WR,,70,193,11/5/1990,4.5,14,33,117,4.09,7.04,30.250,9.375,195,Jacksonville State,Ohio Valley,2013,INA,INA,0,0,2540260
AB-2075,Andrew,Bonnet,A.Bonnet,RB,,75,250,12/27/1992,4.92,22,0,0,0,0,0.000,0.000,0,North Dakota State,Missouri Valley,2016,INA,INA,0,0,2556844
AB-2100,Alex,Boone,A.Boone,OL,,80,300,5/4/1987,5.16,33,27.5,103,4.69,7.83,0.000,0.000,0,Ohio State,Big Ten,2009,INA,INA,0,0,71211
AB-2200,Alfonso,Boone,A.Boone,DL,,76,318,1/11/1976,0,0,0,0,0,0,0.000,0.000,253,Central State,,2001,INA,INA,0,0,2504240
AB-2225,Andrew,Bose,A.Bose,LB,,74,232,6/7/1993,4.71,25,35,122,4.37,7.2,0.000,0.000,0,Rhode Island,Colonial Athletic (CAA),2015,INA,INA,0,0,2553899
AB-2250,A.J.,Bouye,A.Bouye,DB,LB,72,186,8/16/1991,4.57,18,36.5,125,4.04,7.06,0.000,0.000,0,Central Florida,Conference USA (C-USA),2013,JAC,RCB,21,1,2541162
AB-2300,Alvin,Bowen,A.Bowen,LB,,73,220,12/24/1983,4.79,15,34,119,4.3,7.1,0.000,0.000,147,Iowa State,Big 12,2010,INA,INA,0,0,2342
AB-2400,Andy,Bowers,A.Bowers,DL,,77,283,2/22/1976,4.83,0,0,0,0,0,0.000,0.000,0,Utah,Mountain West (MWC),2001,INA,INA,0,0,2504437
AB-2500,Allen,Bradford,A.Bradford,RB,LB,71,235,8/31/1988,4.53,28,29,113,4.39,6.97,32.125,9.375,187,USC,Pacific 10,2011,INA,INA,0,0,2495125
AB-2600,Ahmad,Bradshaw,A.Bradshaw,RB,,69,214,3/19/1986,4.55,0,34,112,4.09,6.7,0.000,0.000,250,Marshall,Conference USA (C-USA),2007,INA,INA,0,0,2495560
AB-2700,Alan,Branch,A.Branch,DL,,78,325,12/29/1984,5.07,33,27.5,107,4.79,7.56,0.000,0.000,33,Michigan,Big Ten,2007,INA,INA,0,0,2495561
AB-2730,Andre,Branch,A.Branch,DL,,76,259,7/14/1989,4.67,19,32.5,120,4.25,7.19,34.000,9.000,38,Clemson,Atlantic Coast (ACC),2012,MIA,LDE,50,2,2532801
AB-2760,Aaron,Brewer,A.Brewer,OL,,74,225,7/5/1990,4.96,10,27.5,102,4.48,7.27,0.000,0.000,0,San Diego State,Mountain West (MWC),2012,ARI,LS,46,1,2535529
AB-2800,Anthony,Bright,A.Bright,WR,,73,170,3/28/1977,0,0,0,0,0,0,0.000,0.000,0,Valencia,,2002,INA,INA,0,0,2504768
AB-2900,Aaron,Brooks,A.Brooks,QB,,76,220,3/24/1976,4.6,0,35.5,120,4.29,7.52,0.000,0.000,131,Virginia,Atlantic Coast (ACC),2000,INA,INA,0,0,2499800
AB-3000,Ahmad,Brooks,A.Brooks,DB,,68,180,3/13/1980,0,0,0,0,0,0,0.000,0.000,0,Texas,Big 12,2002,INA,INA,0,0,2504957
AB-3100,Ahmad,Brooks,A.Brooks,LB,,75,259,3/14/1984,4.64,0,0,0,0,0,0.000,0.000,0,Virginia,Atlantic Coast (ACC),2006,INA,INA,0,0,2507010
AB-3200,Aaron,Brown,A.Brown,RB,,72,196,10/10/1985,4.49,16,40,129,4.26,7.22,0.000,0.000,192,Texas Christian,Mountain West (MWC),2009,INA,INA,0,0,2507795
AB-3300,Alex,Brown,A.Brown,DL,,75,262,6/4/1979,4.74,0,0,0,0,0,0.000,0.000,104,Florida,Southeastern (SEC),2002,INA,INA,0,0,2505098
AB-3350,Algernon,Brown,A.Brown,RB,,72,250,11/29/1991,4.63,21,33,115,4.31,7.06,0.000,0.000,0,Brigham Young,FBS Independents,2017,INA,INA,0,0,2559146
AB-3400,Andre,Brown,A.Brown,RB,,72,227,12/15/1986,4.37,24,37,115,4.28,7.08,32.000,9.500,0,North Carolina State,Atlantic Coast (ACC),2010,INA,INA,0,0,2507790
AB-3425,Andrew,Brown,A.Brown,DL,,75,296,12/30/1995,5.03,31,28,101,4.48,7.51,34.500,9.375,158,Virginia,Atlantic Coast (ACC),2018,CIN,FUT,93,2,2560979
AB-3450,Anthony,Brown,A.Brown,DB,,71,192,12/15/1993,4.32,19,35,115,4.19,7.03,31.750,8.250,189,Purdue,Big Ten,2016,DAL,RCB,30,2,2555531
AB-3500,Antonio,Brown,A.Brown,WR,,70,186,7/10/1988,4.56,13,33.5,105,4.18,6.98,31.000,9.000,195,Central Michigan,Mid-American (MAC),2010,PIT,LWR,84,1,2508061
AB-3550,Antonio,Brown,A.Brown,WR,,70,175,3/3/1978,0,0,0,0,0,0,0.000,0.000,0,West Virginia,Big East,2003,INA,INA,0,0,2505242
AB-3570,Arthur,Brown,A.Brown,LB,,72,241,6/17/1990,4.67,21,32.5,116,4.31,7.07,32.500,10.000,56,Kansas State,Big 12,2013,INA,INA,0,0,2539245
AB-3577,Asantay,Brown,A.Brown,DB,,72,215,2/3/1995,4.63,16,38,126,4.15,6.86,0.000,0.000,0,Western Michigan,Mid-American (MAC),2018,PHI,FUT,57,1,2561512
AB-3585,Austin,Brown,A.Brown,DL,,74,280,9/14/1991,4.97,32,32,108,4.49,7.35,0.000,0.000,0,Miami (OH),Mid-American (MAC),2014,INA,INA,0,0,2549455
AB-3600,Arland,Bruce,A.Bruce,WR,,70,193,11/23/1977,0,0,0,0,0,0,0.000,0.000,0,Minnesota,Big Ten,2003,INA,INA,0,0,2503923
AB-3700,Anthony,Bryant,A.Bryant,DL,,75,336,11/6/1981,5.06,23,31.5,106,4.72,7.8,0.000,0.000,178,Alabama,Southeastern (SEC),2005,INA,INA,0,0,2506513
AB-3800,Antonio,Bryant,A.Bryant,WR,,73,192,3/9/1981,4.57,0,37,121,0,0,0.000,0.000,63,Pittsburgh,Big East,2002,INA,INA,0,0,2505061
AB-3850,Armonty,Bryant,A.Bryant,DL,LB,76,263,5/20/1990,4.69,15,34.5,121,4.43,7.14,35.750,9.750,217,East Central Oklahoma,,2013,INA,INA,0,0,2540278
AB-3862,Aaron,Burbridge,A.Burbridge,WR,,72,206,12/23/1993,4.46,20,30.5,115,4.31,7.22,31.625,8.250,213,Michigan State,Big Ten,2016,INA,INA,0,0,2555362
AB-3875,Artie,Burns,A.Burns,DB,,72,193,5/1/1995,4.42,7,33,124,4.33,6.96,33.250,9.500,25,Miami (FL),Atlantic Coast (ACC),2016,PIT,RCB,25,2,2555344
AB-3900,Antwon,Burton,A.Burton,DL,,75,315,7/11/1983,5.39,31,31.5,113,0,0,0.000,0.000,0,Temple,FBS Independents,2006,INA,INA,0,0,2506633
AB-4000,Adam,Butler,A.Butler,DL,,76,301,4/12/1994,5.23,23,28.5,101,4.9,7.51,0.000,0.000,0,Vanderbilt,Southeastern (SEC),2017,NE,DT,70,2,2558924
AC-0100,Andre,Caldwell,A.Caldwell,WR,RB,72,200,4/15/1985,4.35,18,36.5,124,4.11,6.75,32.250,9.000,97,Florida,Southeastern (SEC),2008,INA,INA,0,0,206
AC-0200,Antoine,Caldwell,A.Caldwell,OL,,75,305,4/19/1986,5.24,23,28,111,5.04,7.96,0.000,0.000,77,Alabama,Southeastern (SEC),2009,INA,INA,0,0,71239
AC-0225,Austin,Calitro,A.Calitro,LB,,73,239,1/10/1994,4.67,24,34,111,4.31,6.96,0.000,0.000,0,Villanova,Colonial Athletic (CAA),2017,SEA,MLB,58,2,2558925
AC-0237,Antonio,Callaway,A.Callaway,WR,,71,200,1/9/1997,4.41,7,34,121,4.33,7,31.500,9.500,105,Florida,Southeastern (SEC),2018,CLE,RWR,11,1,2560988
AC-0250,A.J.,Cann,A.Cann,OL,,75,313,10/3/1991,5.47,30,32.5,109,0,0,32.625,10.250,67,South Carolina,Southeastern (SEC),2015,JAC,RG,60,1,2552330
AC-0300,Anthony,Cannon,A.Cannon,LB,,70,226,12/31/1984,4.75,0,0,0,0,0,0.000,0.000,247,Tulane,Conference USA (C-USA),2006,INA,INA,0,0,2506996
AC-0350,Avius,Capers,A.Capers,WR,,69,200,5/30/1992,0,0,0,0,0,0,0.000,0.000,0,Johnson C. Smith,,2015,INA,INA,0,0,2554335
AC-0362,Alex,Cappa,A.Cappa,OL,,78,305,1/27/1995,5.35,24,26.5,97,4.84,8.04,32.625,9.250,94,Humboldt State,,2018,TB,RG,65,2,2560991
AC-0375,Amir,Carlisle,A.Carlisle,WR,,70,191,9/24/1992,4.5,17,35,0,4.24,7.39,0.000,0.000,0,Notre Dame,FBS Independents,2016,INA,INA,0,0,2556422
AC-0387,Austin,Carr,A.Carr,WR,,72,201,12/25/1993,4.62,16,33.5,116,4.07,6.7,0.000,0.000,0,Northwestern,Big Ten,2017,NO,SWR,80,1,2558928
AC-0400,Adam,Carriker,A.Carriker,DL,,78,296,5/6/1984,4.9,33,33.5,110,4.18,7.06,0.000,0.000,13,Nebraska,Big 12,2007,INA,INA,0,0,2495571
AC-0500,Alex,Carrington,A.Carrington,DL,LB,77,285,6/19/1987,4.92,26,33,122,4.81,7.64,33.250,10.500,72,Arkansas State,Sun Belt,2010,INA,INA,0,0,496766
AC-0600,Ahmad,Carroll,A.Carroll,DB,,71,190,8/4/1983,4.34,15,41,128,0,0,0.000,0.000,25,Arkansas,Southeastern (SEC),2004,INA,INA,0,0,2506100
AC-0650,Alex,Carter,A.Carter,DB,,72,196,10/19/1994,4.5,17,40,121,4.07,7.05,32.125,9.125,80,Stanford,Pacific 12,2015,WAS,LCB,35,3,2552587
AC-0700,Andre,Carter,A.Carter,DL,LB,76,265,5/12/1979,4.84,20,38.5,132,4.24,0,0.000,0.000,7,California,Pacific 10,2001,INA,INA,0,0,2504738
AC-0900,Antoine,Cash,A.Cash,LB,,73,223,3/5/1982,0,0,0,0,0,0,0.000,0.000,0,Southern Mississippi,Conference USA (C-USA),2005,INA,INA,0,0,2506253
AC-1000,Antoine,Cason,A.Cason,DB,,72,195,7/9/1986,4.45,20,35.5,128,4.08,7.07,0.000,0.000,27,Arizona,Pacific 10,2008,INA,INA,0,0,208
AC-1100,Aveion,Cason,A.Cason,RB,WR,70,204,7/12/1979,4.43,0,0,0,0,0,0.000,0.000,0,Illinois State,Missouri Valley,2001,INA,INA,0,0,2504353
AC-1200,Anthony,Castonzo,A.Castonzo,OL,,79,305,8/9/1988,5.21,28,29.5,105,4.4,7.25,34.500,10.625,22,Boston College,Atlantic Coast (ACC),2011,IND,LT,74,1,2495137
AC-1250,Andre,Chachere,A.Chachere,DB,,72,197,2/10/1996,4.49,13,38,123,4.07,6.78,0.000,0.000,0,San Jose State,Mountain West (MWC),2018,DET,LCB,36,4,2561016
AC-1300,Antonio,Chatman,A.Chatman,WR,,69,177,2/12/1979,0,0,0,0,0,0,0.000,0.000,0,Cincinnati,Conference USA (C-USA),2003,INA,INA,0,0,2504428
AC-1350,Anthony,Chickillo,A.Chickillo,DL,LB,75,267,12/10/1992,4.79,27,34.5,114,4.25,7.17,33.500,10.125,212,Miami (FL),Atlantic Coast (ACC),2015,PIT,LOLB,56,2,2552266
AC-1375,Alex,Chisum,A.Chisum,WR,,75,194,11/6/1992,4.61,19,34.5,122,4.26,7.09,0.000,0.000,0,Cincinnati,American Athletic,2016,INA,INA,0,0,2557532
AC-1387,Anthony,Cioffi,A.Cioffi,DB,,72,200,8/26/1994,4.55,15,27.5,114,4.24,6.96,0.000,0.000,0,Rutgers,Big Ten,2017,INA,INA,0,0,2558930
AC-1400,Adrien,Clarke,A.Clarke,OL,,77,330,3/26/1981,5.52,0,26,102,4.79,7.93,0.000,0.000,227,Ohio State,Big Ten,2005,INA,INA,0,0,2505913
AC-1500,Adrian,Clayborn,A.Clayborn,DL,,75,281,7/6/1988,4.78,17,33,114,4.13,7.08,32.500,9.750,20,Iowa,Big Ten,2011,NE,LDE,94,2,2495140
AC-1600,Anthony,Clement,A.Clement,OL,,80,333,4/10/1976,0,0,0,0,0,0,0.000,0.000,36,Louisiana-Lafayette,FBS Independents,1998,INA,INA,0,0,2500104
